# Generated by scripts/generate_fixed_stage_stim.py
# seed 23063
# valid last a_re a_im b_re b_im
1 0 22684 6543 -6808 -25076
1 0 -2391 -20855 -21128 -23676
1 0 -25858 24715 5126 3547
1 0 18641 -10640 27375 -24272
1 0 -957 -20741 -28294 -400
1 0 19769 -23904 21352 25333
1 0 -9381 30461 18924 6195
0 0 26072 26565 725 -15665
1 0 -12643 20518 6035 -16
1 0 -4003 -16324 -14408 14649
1 0 -26603 -28219 11638 15588
1 0 -19340 1604 -19215 -16456
0 0 2556 6237 -30089 21688
1 0 -2862 22331 -11171 -21083
1 0 22388 21148 16283 -703
1 0 -7701 19284 18504 17625
1 0 11324 17608 17686 19601
1 0 9053 -13563 -28543 21259
1 0 13614 -19923 -3111 -3842
1 0 4091 11838 -7158 6831
1 0 -12374 -32679 -13434 9532
1 0 -8886 13963 -1375 -22626
1 0 25398 -12925 -12165 -11201
1 0 -17520 23064 27335 -25935
1 0 -16181 -10809 11436 -3611
1 0 5874 6614 -385 6754
1 0 -19600 -28648 -25601 -31156
1 0 -19674 27424 -10061 -14678
1 0 -7013 22852 -1465 -13667
1 0 -3150 -19678 15922 -12165
1 0 -10271 30163 -16398 16437
1 0 -30962 27683 28779 -11921
1 0 -29431 -15697 -8556 6768
1 0 25985 -10025 -29705 27894
1 0 4103 -25447 -31700 -3154
1 0 -26280 -6030 29969 21155
1 0 -7723 -7047 -29698 -22782
1 0 -30710 -29087 9768 -28226
1 0 15594 -1196 -8427 -5345
1 0 18858 4601 -17792 -5538
1 0 19802 19342 27652 29501
1 0 24448 4690 268 -30672
1 0 -31431 25216 -15885 -2294
1 0 22013 -11587 16527 -8201
1 1 15113 -1882 -9011 -19391
1 0 -21971 -23221 6821 -21114
1 0 -14030 15481 506 -32213
1 0 -11052 -12888 -227 -14121
1 0 32105 17904 -19517 8772
1 0 -8351 -28006 22647 4761
1 0 -9035 -9602 20868 3261
1 0 15040 17566 -7882 7982
1 0 -28317 -30765 15926 1061
1 0 29356 4529 -28913 -10755
1 0 -9003 -23442 18701 -7865
1 0 -19902 7963 -23857 1506
1 0 32626 11496 7181 6153
1 0 29095 -27753 -6160 -5738
1 0 -6101 -21080 6387 -14760
1 0 28492 -11026 16507 25440
1 0 22654 -1789 13624 -11819
1 0 -2419 15174 -6613 -22873
1 0 -17424 -22211 31021 32052
1 0 2628 -1112 -29464 7158
1 0 13089 26465 18873 -2147
0 0 -439 9938 10491 16094
1 0 -10615 10627 4349 -32322
1 0 -4347 -30780 333 17656
1 1 9268 -22450 -2724 18962
1 0 -12990 22610 -12900 -2952
1 0 1871 -16403 17764 -22798
1 0 9882 4651 3206 -6874
1 0 -31901 3359 -32067 21975
1 0 14259 -12176 28936 10852
1 0 -30130 -26543 32177 -10666
1 0 -26209 -6757 -14211 -21990
1 0 -25998 1107 10123 -24969
1 0 9954 10045 -16491 13166
1 0 -7388 10230 28631 27902
1 0 -1738 -12956 7270 -23454
1 0 781 31463 6846 22334
0 0 -22253 32585 15887 -4172
1 0 -17717 -16383 -29836 21723
0 0 2103 9563 -10141 -3033
1 0 22876 -1546 14326 -24424
1 0 19096 -30518 -2101 256
1 0 1694 18148 -17242 -15631
1 0 -15655 -9278 -20845 11577
1 0 29161 -9290 11940 3617
1 0 24002 6916 20076 15272
1 0 -19694 20042 16794 24125
1 0 23227 15687 21409 16643
1 0 17565 18342 2412 -25955
1 0 -24864 821 -6731 9574
1 0 -31033 26067 1798 -21823
1 0 -10460 -27252 -30746 16236
1 0 -8175 -18524 -28497 4734
1 0 17212 -22498 27704 3622
1 0 -2946 3317 12253 -31532
1 0 -10719 22311 -13702 -21599
1 0 -13940 1856 30356 -16918
1 0 7223 9690 -14405 27791
1 0 3162 7415 -13471 6008
1 0 -21164 10304 -23076 11503
0 0 26659 26733 2592 12584
1 0 -14007 -8518 26040 12090
1 0 24363 13499 32693 -26854
1 0 4276 29020 17632 5337
1 0 1538 22451 2588 -18242
1 0 7220 -8603 32021 -17293
1 0 14530 -11268 -15203 12994
1 0 32283 5305 8843 -22580
1 0 24152 -26993 8325 20585
0 0 -20057 -16449 -17117 15682
1 0 21888 -32659 -20570 -26416
1 0 16492 -23253 16400 11769
1 0 2252 -31834 21396 28437
1 0 -29747 23161 -27482 14190
1 0 -5027 -7726 -13226 -23375
1 0 9253 -24284 -17062 -15851
1 0 4511 23335 22065 -3280
1 0 24138 -4331 -3270 -3081
1 0 17640 27523 32705 23389
0 0 31413 12461 -29311 24592
1 0 -2448 10615 -23911 -15831
1 0 -2639 -24965 26259 -14627
1 0 388 4773 -26928 -20968
1 0 -16472 -15854 27226 15286
1 0 28784 -32016 -24568 781
1 0 7777 10719 16274 -29203
1 0 -12326 -26455 70 -7068
1 0 -12542 -18144 32334 -32006
1 0 -21674 105 31186 -32332
1 0 -14136 -9938 -26703 13521
1 0 8740 1416 1934 12376
1 0 27458 -26821 -15732 32425
1 0 -8966 15794 -4911 -25962
1 0 -8325 9855 21477 2139
1 0 2203 116 16317 -27464
1 0 -2595 -4382 17349 -7616
1 0 -31455 -21651 310 6634
1 0 25374 -25108 -25617 -1837
1 0 7264 -20533 8222 6952
1 0 -28854 -12384 -14070 -6334
1 0 -16834 -3278 -6176 19010
1 0 -5251 29886 8465 9138
1 0 -14175 4675 -28541 -3116
0 0 27830 17143 -25815 12739
1 0 14791 18591 13304 -18134
1 0 20763 1322 -3535 -17771
1 0 8666 -21122 3802 7890
1 0 -31870 5763 6128 7699
1 0 -9019 10274 -13564 24593
1 0 26695 10639 -3903 -3124
1 0 -14499 30191 -20410 -6556
1 0 -19958 -29837 22897 -29985
1 0 -3823 -15064 -12372 17482
1 0 5888 2877 23529 -7564
1 0 1284 2809 -24761 11886
1 0 -28529 -24389 -13226 16496
1 0 -12541 -30004 -7387 23749
1 0 4313 9577 -14415 7727
1 0 12318 -31432 -23263 -6875
1 0 5517 -26786 7706 -30114
1 0 9155 9006 29835 -32016
1 0 -782 10369 27596 -18031
1 0 -28374 -22617 15456 -8546
1 0 -32451 -2679 9837 22039
1 0 26486 8952 -17933 17036
1 0 -18344 -30627 30061 -11311
1 0 9142 16724 14390 2844
1 0 10746 -24929 -30549 178
0 0 31893 9972 21234 1782
1 0 20523 16809 25496 28072
1 0 -12482 -27125 15937 -6845
1 0 1882 -5058 4393 -26164
1 0 865 -17568 21077 32415
1 0 22065 8850 -29678 -24443
0 0 5874 -21492 -17182 -4510
1 0 -22034 -7885 -24882 1847
1 0 29314 -7793 31912 -31918
1 0 32162 6088 29911 -23356
1 0 -22483 -8264 24986 -4845
1 0 -1825 10119 -25222 -6860
1 0 -7969 21652 -10344 -10713
1 0 9155 -14765 -3941 -12101
1 0 -9500 -23095 -19434 -13457
1 0 15975 15617 29408 16420
1 0 -13952 -20890 31125 8590
1 0 -26398 26243 -9452 -25268
1 0 28042 27439 -6672 -9369
1 0 -18153 9402 -8774 -390
1 0 8699 22228 20440 -7472
1 0 -23097 19997 -15372 -31858
1 0 -10359 -6970 22358 -24788
0 0 -32742 -15092 -23274 18423
1 0 26548 -4402 17537 -1309
1 0 -27521 16680 10565 -16659
1 0 -10723 -22575 -1630 25537
1 0 2979 14550 25363 21343
1 0 20369 -27607 -21317 -16310
1 0 -26526 -15507 1235 -31077
1 0 -30992 329 5656 -22447
1 0 27640 24828 14266 -12018
1 0 27257 -5689 -5285 11909
1 0 25325 16138 18691 17870
1 0 -25454 -22427 -18082 -6498
1 0 10310 -9876 -21594 29745
0 0 14415 13328 -24829 -30121
1 0 -27537 3431 -26991 -22493
1 0 -15294 5267 17141 853
1 0 -9235 32356 -21534 -6369
1 0 17904 -13064 -29705 -9391
1 0 30299 22314 -23260 31642
1 0 28936 -8183 -25066 -3201
1 0 -16542 12028 3859 13433
1 0 -3090 15681 -30927 25561
1 0 18689 -7095 -13391 14342
1 0 -31754 -18470 -17436 21773
1 0 -8660 12103 10455 -761
1 0 20449 -5364 6618 -1814
1 0 -7065 11509 20505 14496
1 0 -14025 16127 8852 -24261
1 0 -8099 -15804 -20392 3901
1 0 28112 7397 -19753 30477
1 0 -25615 -540 993 -16718
1 0 -9025 -6683 -16797 -12686
1 0 -31920 -160 -18695 13029
1 0 11084 -27123 4505 5412
1 0 29772 -574 21767 10527
1 0 480 -29527 30906 -10624
1 0 6277 -12957 -32403 -11967
1 0 19909 4971 -16010 14171
1 0 -27875 -16030 15300 -13790
1 0 -5881 3362 -9924 3588
1 0 -19698 -2542 6164 -26548
1 0 -3087 11724 -30288 -8361
1 0 -20039 14952 -4725 -27542
1 0 -5113 10751 11903 -31626
1 0 -24620 31031 11106 31400
1 0 -11221 19278 32386 -26328
1 0 -14816 -1590 -22726 18064
1 0 -31658 13120 8472 16767
1 0 19113 16816 -15204 23801
1 0 13256 -15135 -7303 294
1 0 -21707 15152 16793 24905
1 0 -28264 2748 -26480 24389
1 0 -31271 -29158 3589 21452
1 0 -23508 -25464 -1471 -30638
1 0 27064 25188 1918 17167
1 0 -2161 -3038 -1770 7756
1 0 3807 10057 -30238 10427
1 0 -19485 12742 30460 -31859
1 0 22968 17330 -26306 7668
1 0 -24528 16010 -27352 29822
1 0 17823 -10953 -1168 26956
1 0 -21220 -2681 -1657 -25424
1 0 -13080 -1060 -31007 -27179
1 0 -14661 14863 12058 -16864
1 0 11364 19452 31583 -23942
1 0 -30611 31579 5366 -28532
1 0 -22975 -11528 15479 15833
1 0 -4780 -27605 -23305 18726
1 0 -4012 -11416 20963 -12369
0 0 25644 6101 -3750 20869
1 0 24039 -13520 -26895 -18954
1 0 4176 -32325 12778 -17880
1 0 9170 10714 7846 -31682
1 0 -25305 -26793 13011 -21728
0 0 -30145 17837 2577 9303
1 0 -16333 -32437 15978 30217
1 0 11798 -6542 -1296 26813
1 1 -4896 -24593 19599 9945
1 0 14357 7725 2178 -23959
1 0 -30927 -26652 5866 -28921
1 0 -12367 30278 -12270 23596
0 0 4300 5929 -32324 30687
1 0 19502 21482 -27927 16354
1 0 -5673 7784 14785 27023
1 0 -21497 -11999 -22360 20910
0 0 25216 31534 27919 -26307
1 0 11750 29059 9720 23916
1 0 -28998 28224 29868 -10137
1 0 -29911 -14306 25292 -17145
1 0 10989 6229 9091 11719
1 0 18753 -11998 16007 19403
1 0 29901 15650 14412 -23845
1 0 3519 8417 20117 -27144
1 0 -25854 -23051 -21436 -22283
1 0 -26482 -23949 -32006 -8530
1 0 20676 2961 26388 -30974
1 0 -13322 20655 -17527 -28651
1 0 17173 4580 -18312 22239
1 0 -11459 3368 -1209 -8790
0 0 -3242 -11080 -10165 29958
1 0 -594 -12402 -1882 29976
1 0 -21638 25253 28414 30994
1 0 -17694 -13734 -18637 -22198
1 0 -4905 19905 -12775 7091
1 0 18548 23991 -26585 5023
1 0 -3531 -935 24058 -28197
1 0 -31021 18803 -15388 8650
1 0 -24809 17126 -30304 8386
1 0 7605 -4013 1044 -31222
1 0 28368 27469 -16520 3660
1 0 -16349 -1817 15131 -3857
1 0 -29308 11874 11828 -23194
1 0 4587 27392 -15890 -6104
1 0 8639 -3850 7377 -8643
1 0 21018 12644 -31501 -6092
1 0 31817 -1453 -1344 -22311
1 0 12293 2388 25865 6065
1 0 3241 5460 -13069 -13785
1 0 -9200 3152 -9291 27559
1 0 -13079 2366 -14085 -25330
1 0 18335 -14097 9705 -11237
1 0 -29111 -1500 4040 -1588
1 0 -17858 3510 -9748 822
1 0 -7375 459 -16646 -18092
1 0 -7338 -23935 -22279 11134
0 0 171 -31016 4625 11847
1 0 -7208 4410 -15840 24381
0 0 -28410 -1823 -9714 -30059
1 0 25485 -1840 -1897 -21629
1 0 18143 -7457 -18954 -24517
1 0 -30744 23371 -341 21193
1 0 28806 28161 7312 26901
1 0 9521 29030 26304 22329
1 0 -14676 16951 -26680 -26561
1 0 26793 16300 10111 29508
1 0 21555 -16527 25304 -27849
1 0 6896 -981 -14607 -30808
1 0 -32698 -23139 9878 -623
0 0 12360 -32151 -23774 7655
1 0 22787 1945 -7965 -24679
1 0 -3226 -42 -25889 -30059
1 0 29039 20059 -8818 2143
1 0 27101 -9392 31269 13242
1 0 -5574 6443 26939 -6241
1 0 -5074 -27600 -13161 657
1 0 16485 -6633 -14602 8720
1 0 -32083 4901 -20580 -3944
1 0 -15173 11492 -6447 22033
1 0 -10306 -3532 18977 31909
1 0 -9546 28533 15035 -20724
1 0 8341 13132 8663 -15973
1 0 24063 -6439 32449 5907
1 0 32136 -19230 -16657 19849
1 0 14561 -14278 -15308 -10514
1 0 -16929 -14161 -19814 4879
1 0 17951 -6463 15909 30362
1 0 -16401 -25957 -29820 -8563
1 0 -27664 -19537 -600 5275
1 0 5211 -19172 4291 -31460
1 0 22397 32026 14596 11303
1 0 -16089 19618 20814 -31998
1 0 -29323 31956 -23683 15350
1 0 32082 -20231 7910 -21306
1 0 11109 -22446 -9215 30112
1 0 29936 9934 25574 32052
1 0 -30776 3967 30389 21570
0 0 4221 5169 18947 24204
1 0 -31210 12190 2215 27071
1 0 -12354 -4562 -6640 -8664
1 0 25 2126 16831 -15642
1 0 23800 22193 31519 30649
1 0 7541 -30969 22459 109
1 0 21389 11113 -20499 18313
1 0 -24668 25322 20610 9321
1 0 12575 11923 -3348 -16951
0 0 31680 -31481 22554 17514
1 0 -430 15920 -7398 29791
1 0 31909 2095 -8147 5035
1 0 -8571 6333 -32217 17635
1 0 -19456 -5748 17623 -32670
1 0 2256 7948 3200 -23917
1 0 15027 7930 -4885 17059
0 0 8676 24053 2074 -4728
0 0 345 -10209 3927 -29600
1 0 15030 20145 9085 5967
1 0 -29831 -6899 -12648 -22055
1 0 -9692 -18569 31188 28057
1 0 12147 -2665 22322 -23791
1 0 -8575 23379 30314 -26581
1 0 23149 5387 410 -10676
1 0 -27420 5010 9905 -20582
1 0 -22995 -3285 2400 11835
1 0 -25259 31876 -16051 15524
0 0 3321 32294 27710 10649
1 0 8075 -16829 -28932 12098
1 0 4394 -1323 -26379 -20453
0 0 17048 -27903 -18359 26589
1 0 -16788 -8581 17625 -11532
1 0 -13014 -25214 -8897 14938
1 0 6914 -32107 -15972 11022
1 0 2005 -9260 -9528 2741
1 0 -19227 2645 17877 -11050
1 0 14451 -6177 -27265 -16020
1 0 -25612 -20165 13507 -8721
0 0 12490 19652 -13247 26953
1 0 -30084 -24078 3756 -3508
1 0 -8493 -16774 -20694 -28751
1 0 11735 7598 -3896 12270
1 0 -32408 11261 11600 -13520
1 0 11730 -19843 -18968 27786
1 0 15835 22864 -24153 13887
1 0 -5242 -16352 4545 -24515
1 0 -20816 14465 15482 7413
1 0 17781 -29686 -19163 -6978
1 0 21351 11368 -11896 20942
1 0 -24015 4765 18041 17772
1 0 2417 11629 31189 32128
1 0 25848 12929 -8212 13146
1 0 1346 -14654 12097 -15965
1 0 28010 5049 -1916 -23788
1 0 26515 10896 -26869 12316
1 0 26862 -31292 28471 -28541
1 0 -31907 -8797 4307 -25300
1 0 -20887 -32568 -3233 -22526
1 0 -3086 21931 -16517 22273
1 0 17955 284 -13448 6650
1 0 -23137 9795 2406 -18395
1 0 14474 -25795 14932 5654
1 0 -18520 15649 -18172 -17291
1 0 -27581 31702 703 15375
1 0 26315 -19540 29130 29345
1 0 23900 21557 14197 -26714
1 0 13263 17967 -118 11044
1 0 -5977 22983 22202 25390
1 0 6505 -30084 -539 14816
1 0 -3683 -5994 12653 -30619
1 0 -12085 442 30402 28837
1 0 -21898 5838 8691 23502
1 0 9393 -9785 -24460 17694
1 0 23414 -11304 -29909 27134
1 0 18749 -10628 -9993 -27364
1 0 12997 2978 8463 22626
1 0 31038 4836 5171 23446
1 0 -5136 -30447 -11576 10275
1 0 17589 -13051 14476 5022
1 0 -6284 27476 18102 9460
1 0 31966 -7726 -15090 12527
1 0 6427 -1052 1543 7344
1 0 -8898 -21160 -14724 483
1 0 -9701 11494 1950 -266
1 0 -19819 14332 -16534 -28801
1 0 -20751 -4692 -31301 31949
1 0 -221 14734 23784 -25976
1 0 -21633 23614 4314 24870
1 0 2690 9814 -9461 23614
1 0 -8298 -24423 12875 15950
1 0 18191 -1530 13639 22267
1 0 -24213 21375 -2270 15445
1 0 8301 31392 -1276 14988
1 0 -19263 24647 32089 -7616
1 0 475 4697 -22380 30480
1 0 -21107 32270 -18784 5390
1 0 20982 21295 2542 -32108
1 0 31718 22285 -3684 6386
1 0 -1101 -25432 3386 24669
1 0 -9694 4005 29769 26062
1 0 5336 14314 2469 24706
1 0 12280 16929 -85 -28224
1 0 -31975 -8114 -589 -11612
1 0 7853 4830 -20948 12873
1 0 8095 -7092 -19817 -3656
1 0 -11207 -4158 27662 -29576
1 0 31008 14449 9602 -9258
1 0 3192 4748 -26767 24931
1 0 -19461 -15863 29301 -26127
0 0 24150 -32635 -16442 27473
1 0 -28181 -22041 -19870 10111
1 0 6909 17742 28890 24677
1 0 22936 -31903 -10242 8368
